country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,GINI index (World Bank estimate),"GINI index (World Bank estimate), average 2000-15","gini of household income reported in Gallup, by wp5-year",iso,relpct,region
Burkina Faso,2016,4.205634594,7.403783321000001,0.764401138,51.99484634,0.644681513,0.011582303,0.7205424309999999,0.616066873,0.33730018100000003,0.6637113689999999,-0.453631699,-0.37877517899999996,1.966713428,0.46763774799999996,,0.394666667,0.559157968,BFA,100.0,Sub-Saharan Africa
Cambodia,2016,4.461259365,8.150504112,0.7459012270000001,58.32095718,0.957821488,0.075221501,0.840416849,0.838551998,0.398200303,0.739886224,-0.482522547,-0.888280451,2.560576439,0.573958218,,,0.548649073,KHM,99.6,Southeast Asia
Cameroon,2016,4.816232203999999,8.115765572,0.659299791,49.73761749,0.71250701,-0.00575576,0.87945056,0.661523461,0.36709338399999997,0.621221066,-0.988149583,-0.9262326359999999,2.363250971,0.490684599,,0.43799999999999994,0.559192836,CMR,100.0,Sub-Saharan Africa
Canada,2016,7.244845867,10.670993800000002,0.9243925209999999,72.26780701,0.912423909,0.19691582,0.385090441,0.824586391,0.23742286899999998,0.618195295,1.310352206,1.8388500209999998,1.7764630319999999,0.245203704,,0.3368,0.606446326,CAN,74.5,North America and ANZ
Central African Republic,2016,2.693061113,6.473706245,0.29018417,43.98196793,0.624056518,0.058876671,0.859073043,0.578653812,0.49426806,0.7487545609999999,-1.433270812,-1.578397632,2.2508873940000003,0.835810006,,0.499,0.660534203,CAF,100.0,Sub-Saharan Africa
Chad,2016,4.029350281,7.520730019,0.616204858,45.66236115,0.5252221229999999,0.043290634,0.8197888729999999,0.582458258,0.46756675799999997,0.513021767,-1.275645733,-1.3889201880000002,2.435532808,0.60444802,,0.4155,0.50333178,TCD,95.2,Sub-Saharan Africa
Chile,2016,6.579056262999999,10.03041649,0.841388166,69.43727112,0.652289748,0.08794970099999999,0.858124971,0.8692288990000001,0.283042103,0.203538865,0.7551908490000001,1.157341003,1.9862554069999998,0.301905811,,0.491571429,0.48013857,CHL,91.7,Latin America and Caribbean
China,2016,5.32495594,9.57494545,0.741703033,69.15781403,,-0.247030765,,0.826144397,0.145625159,,-1.06862545,-0.09558272400000001,1.99633801,0.374902248,,0.425,0.538626552,CHN,50.0,East Asia
Colombia,2016,6.233715057,9.482222557,0.88190037,63.98321533,0.834966123,-0.108304106,0.8975538609999999,0.793531477,0.29422277199999997,0.261251181,-0.43232712100000004,-0.057220649000000005,2.56872344,0.41206944,,0.5525,0.558657408,COL,98.0,Latin America and Caribbean
Congo (Brazzaville),2016,4.1194934839999995,8.575725555,0.615449011,54.80181885,0.785906553,-0.10804628599999999,0.790385723,0.610304952,0.30366671100000003,0.48307526100000003,-0.8629368540000001,-1.127766609,2.678600073,0.65022558,,0.48100000000000004,0.48463943600000003,COG,100.0,Sub-Saharan Africa
Congo (Kinshasa),2016,4.521935463,6.611898899,0.864154518,50.42893219,0.6373667120000001,0.003774248,0.874999642,0.6462694999999999,0.222411484,0.281824946,-1.79395628,-1.4439677,1.629728436,0.36040505799999994,,0.4215,0.464596361,COD,100.0,Sub-Saharan Africa
Costa Rica,2016,7.135617732999999,9.642219543,0.900701284,69.6995697,0.872971952,-0.034256343,0.780562043,0.87358439,0.281422287,0.279027581,0.9402379390000001,0.482191563,2.143647194,0.300415069,,0.4913125,0.503161848,CRI,93.8,Latin America and Caribbean
Croatia,2016,5.416875362000001,9.978000641,0.798332155,67.19199371,0.671970546,-0.06994529099999999,0.884059787,0.613685668,0.336541265,0.30339098,0.596550703,0.368032664,1.933725119,0.356981665,,0.323333333,0.357812405,HRV,96.4,Central and Eastern Europe
Cyprus,2016,5.794618607,10.34802914,0.786438465,72.6102829,0.7562209959999999,-0.038520422,0.897639513,0.742049396,0.336344689,0.333909512,0.8267133240000001,0.895346284,2.420550823,0.41772392399999997,,0.32490909100000004,0.398189485,CYP,98.7,Western Europe
Czech Republic,2016,6.735627173999999,10.35305977,0.930592895,70.87710571,0.8503282670000001,-0.205266893,0.900430739,0.755701959,0.201041639,0.415120721,1.019347548,0.910852969,1.682170749,0.249742255,,0.264727273,0.29053387,CZE,32.2,Central and Eastern Europe
Denmark,2016,7.55778265,10.73566341,0.954451501,71.3125,0.948230565,0.12781187900000002,0.20989337600000002,0.836115718,0.207583427,0.467660695,1.161069393,1.900531411,1.611469865,0.213219926,,0.267090909,0.50498873,DNK,93.1,Western Europe
Dominican Republic,2016,5.238698483,9.553850173999999,0.8947534559999999,63.335289,0.872712433,-0.08508078,0.737182975,0.7599455709999999,0.278095126,0.5494248270000001,0.238922775,-0.34492737100000004,3.1120915410000003,0.594058156,,0.4886875,0.484080136,DOM,93.45,Latin America and Caribbean
Ecuador,2016,6.115437507999999,9.251891136000001,0.842352092,67.14689636,0.846336305,-0.020777568,0.7740841509999999,0.8463540079999999,0.365246594,0.474427789,-0.172825217,-0.704167545,2.426242828,0.396740675,,0.505928571,0.38752090899999997,ECU,98.5,Latin America and Caribbean
